id,url,title,description,category
1,Assets/Nature/nature1.jpg,Sunset View,Beautiful sunset over mountains with vibrant colors,nature
2,Assets/City/city1.jpg,City Lights,Night view of downtown with illuminated skyscrapers,cityscape
3,Assets/Nature/nature2.jpg,Forest Path,Serene walking path through dense green forest,nature
4,Assets/Food/food1.jpg,Gourmet Dish,Exquisitely plated fine dining experience,food
5,Assets/Travel/travel1.jpg,Beach Paradise,Crystal clear waters and white sandy beaches,travel
6,Assets/City/city2.jpg,Urban Architecture,Modern buildings with striking geometric designs,cityscape
7,Assets/Nature/nature3.jpg,Mountain Peak,Majestic snow-capped mountain against blue sky,nature
8,Assets/Food/food2.jpg,Fresh Salad,Colorful healthy salad with fresh vegetables,food
9,Assets/Travel/travel2.jpg,Historic Temple,Ancient temple with intricate architectural details,travel
10,Assets/City/city3.jpg,Street Art,Vibrant murals and graffiti in urban setting,cityscape
11,Assets/Food/food3.jpg,Dessert Delight,Decadent chocolate cake with artistic presentation,food
12,Assets/Travel/travel3.jpg,Mountain Trail,Scenic hiking trail with breathtaking valley views,travel